기업명,별점,입사율,퇴사율
캐논코리아 주식회사,2.7,24.69 % (315 명),30.49 % (389 명)
지성컨설팅,,,
더이앤엠(주),2.9,38.00 % (38 명),25.00 % (25 명)
(주)핏펫,3.5,175.21 % (212 명),95.04 % (115 명)
한국딥러닝(주),,157.14 % (22 명),85.71 % (12 명)
원테크원(주),,,
(주)클라우드네트웍스,3,48.21 % (27 명),32.14 % (18 명)
디휴브,1,,
(주)젠테,,,
(주)더컴퍼니,2.5,28.57 % (2 명),42.86 % (3 명)
(주)더베스트페이,2.6,15.38 % (4 명),11.54 % (3 명)
백제약품(주),2,18.03 % (11 명),14.75 % (9 명)
케이아이티밸리(주),3,27.85 % (22 명),25.32 % (20 명)
에이에프주식회사,,,
(주)포티투마루,3.1,46.15 % (36 명),39.74 % (31 명)
(주)스마일게이트알피지,3.5,,
(주)바인테크,2.6,35.71 % (15 명),47.62 % (20 명)
이제너두(주),2.2,,
(주)브라이트랩,,,
(주)버블콘,2,82.35 % (14 명),52.94 % (9 명)
주식회사 플루토랩스,,100.00 % (7 명),14.29 % (1 명)
메가스터디교육(주),2.5,79.03 % (1146 명),64.34 % (933 명)
(주)스마일게이트엔터테인먼트,3.3,25.77 % (202 명),17.60 % (138 명)
(주)미스터픽,3.3,31.43 % (11 명),40.00 % (14 명)
(주)에이치엠이스퀘어,,130.00 % (13 명),100.00 % (10 명)
기흥인터내셔널(유),2.3,0.00 % (5 명),0.00 % (0 명)
주식회사 한국미래에너지,3,42.31 % (11 명),84.62 % (22 명)
(주)크릭인텍,,40.00 % (2 명),40.00 % (2 명)
(주)레인보우8,3.3,,
(주)뉴인,,33.33 % (10 명),23.33 % (7 명)
스타법무법인,2.5,,
이스트소프트,3.3,48.31 % (86 명),43.82 % (78 명)
엠클라우드브리지(주),,- % (17 명),0.00 % (0 명)
(주)이루온아이앤에스,3.3,43.10 % (25 명),44.83 % (26 명)
(주)인실리코젠,2.7,42.86 % (21 명),20.41 % (10 명)
(주)마키나락,4.5,78.85 % (41 명),23.08 % (12 명)
(주)이앤에프어드바이저,4.3,77.78 % (7 명),33.33 % (3 명)
주식회사 아이디케이,,88.89 % (16 명),72.22 % (13 명)
(주)아인스텍,2.5,,
(주)포비즈코리아,2.3,38.10 % (32 명),38.10 % (32 명)
