,Unnamed: 0,기업명,기업구분,사원수,설립일(업력),홈페이지,지역
140,141,(주)오비고,"코스닥, 외국인 투자기업, 외부감사법인,..",111 명  (2022년 기준),2003년 3월 18일 (업력 19년) ,www.obigo.com,경기 성남시
141,142,NSUSLAB KOREA,"중소기업, 외국인 투자기업, 유한회사",191 명  (2021년 기준),2014년 2월 14일 (업력 8년) ,www.nsuslab.com,서울 강남구
142,143,(주)이노메트리,"코스닥, 중소기업, 주식회사",143 명  (2022년 기준),2008년 6월 3일 (업력 14년) ,www.innometry.com,경기 화성시
143,144,(주)시몬스,"중견기업, 외부감사법인, 수출입 기업",643 명  (2021년 기준),0,www.simmons.co.kr,경기 이천시
144,145,(주)더블다운인터액티브,"중소기업, 주식회사",0,0,https://www.doubledowninteractive.co.kr/kor/main/main.html,서울 강남구
145,146,주식회사 플루토랩스,중소기업,0,0,www.pluto.im/,서울 강남구
146,147,메가스터디교육(주),"코스닥, 중견기업, 외부감사법인, 주식회사",0,2015년 4월 3일 (업력 7년) ,http://corp.megastudy.net,서울 서초구
147,148,(주)미스터픽,"중소기업, 스타트업, 주식회사",26 명  (2020년 기준),0,www.mrpic.co.kr/,서울 강남구
148,149,기흥인터내셔널(유),"중소기업, 유한회사",85 명  (2022년 기준),0,http://www.khg.kr/,서울 강남구
149,150,이스트소프트,"코스닥, 외부감사법인, 병역특례 인증업..",0,0,www.estsoft.ai/,서울 서초구
150,151,엠클라우드브리지(주),중소기업,0,2022년 8월 26일 (업력 0년) ,https://www.instagram.com/mcloudbridge/,서울 강남구
151,152,(주)마키나락스,중소기업,0,2017년 12월 21일 (업력 5년) ,,서울 서초구
152,153,(주)마키나락스,중소기업,0,2017년 12월 21일 (업력 5년) ,,서울 서초구
153,154,(주)이앤에프어드바이저,"중소기업, 주식회사",13 명  (2022년 기준),2017년 3월 16일 (업력 5년) ,www.enfadvisor.com,서울 영등포구
154,155,(주)포비즈코리아,"중소기업, 주식회사",0,0,www.forbiz.co.kr,서울 서초구
155,156,메가존클라우드(주),"중견기업, 주식회사, 병역특례 인증업체",900 명  (2022년 기준),0,www.megazone.com/,서울 강남구
156,157,메가존클라우드(주),"중견기업, 주식회사, 병역특례 인증업체",900 명  (2022년 기준),0,www.megazone.com/,서울 강남구
157,158,메가존클라우드(주),"중견기업, 주식회사, 병역특례 인증업체",900 명  (2022년 기준),0,www.megazone.com/,서울 강남구
158,159,(주)버즈니,"중소기업, 스타트업, 연구소, 병역특례 ..",61 명  (2019년 기준),2007년 10월 23일 (업력 15년) ,,서울 관악구
159,160,콘센트릭스서비스코리아(유),"중소기업, 외국 법인기업, 유한회사",821 명  (2020년 기준),2014년 1월 22일 (업력 8년) ,www.concentrix.com,서울 강남구
160,161,(주)그루넷,중소기업,0,0,http://www.grunet.co.kr,서울 강남구
161,162,줌인터넷(주),"코스닥, 중소기업, 외부감사법인, 주식회..",113 명  (2022년 기준),2016년 2월 12일 (업력 6년) ,www.zuminternet.com,서울 서초구
162,163,(주)네오리진,"코스닥, 중소기업, 주식회사, 외부감사법..",0,0,www.kornicglory.co.kr,서울 강남구
163,164,한국비지네스써비스(주),"외부감사법인, 주식회사, 수출입 기업",32 명  (2022년 기준),1973년 5월 26일 (업력 49년) ,www.kbscom.co.kr,서울 서초구
164,165,(주)엠코프,중소기업,7 명  (2020년 기준),2014년 11월 20일 (업력 8년) ,http://www.emkop.com,서울 강동구
165,166,(주)네오리진,"코스닥, 중소기업, 주식회사, 외부감사법..",55 명  (2022년 기준),2007년 2월 20일 (업력 15년) ,www.kornicglory.co.kr,서울 강남구
166,167,이투스에듀(주),중견기업,686 명  (2021년 기준),0,www.etoos.com,서울 강남구
167,168,(주)시컴스,"중소기업, 주식회사",0,0,www.sicoms.co.kr,경기 광명시
168,169,(주)유니텍,"외부감사법인, 주식회사",36 명  (2022년 기준),0,www.unitech.co.kr,경기 안양시
169,170,(주)셀티움,"중소기업, 연구소, 주식회사",0,2020년 5월 19일 (업력 2년) ,www.celltium.com,경기 수원시
170,171,(주) LG CNS,"대기업, 1000대기업, 외부감사법인, 수출..",6603 명  (2022년 기준),0,www.lgcns.com,서울 강서구
171,172,(주)슈퍼브에이아이,"중소기업, 스타트업, 병역특례 인증업체",0,0,www.superb-ai.com,서울 강남구
172,173,(주)슈퍼브에이아이,"중소기업, 스타트업, 병역특례 인증업체",0,0,www.superb-ai.com,서울 강남구
173,174,(주)에이스프로젝트,"중소기업, 스타트업",56 명  (2019년 기준),2011년 4월 12일 (업력 11년) ,www.aceproject.co.kr,서울 중구
174,175,(주)더비즈,"대기업, 주식회사",0,0,land.mk.co.kr/memul,서울 서초구
175,176,(주)미창,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.mi-chang.com,경기 부천시
176,177,(주)직방,"중소기업, 스타트업",317 명  (2021년 기준),2010년 11월 19일 (업력 12년) ,company.zigbang.com/,서울 강남구
177,178,(주)레인보우8,"중소기업, 주식회사",0,2013년 11월 18일 (업력 9년) ,www.rainbow.co.kr,-
178,179,(주)참트레이딩,"중소기업, 주식회사",0,0,www.charmtrading.co.kr,경기 광명시
179,180,(주)인플루엔셜,중소기업,94 명  (2022년 기준),2008년 4월 10일 (업력 14년) ,www.influential.co.kr,서울 서초구
180,181,(주)헥토이노베이션,"코스닥, 중소기업, 주식회사, 병역특례 ..",140 명  (2022년 기준),0,https://www.hectoinnovation.co.kr/,서울 강남구
181,182,(주)모비젠,"중소기업, 외부감사법인, 연구소, 주식회..",0,0,www.mobigen.com,서울 송파구
182,183,(주)핀샷,중소기업,0,2016년 3월 28일 (업력 6년) ,,서울 영등포구
183,184,(주)스탁키퍼,"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,bancow.co.kr,서울 영등포구
184,185,(주)NE능률,"코스닥, 중견기업, 주식회사",320 명  (2022년 기준),0,www.neungyule.com,서울 마포구
185,186,키스자산평가(주),"중견기업, 연구소, 주식회사, 병역특례 ..",141 명  (2021년 기준),2000년 6월 20일 (업력 22년) ,www.bond.co.kr,서울 영등포구
186,187,(주)다하미커뮤니케이션즈,"중소기업, 주식회사, 병역특례 인증업체",54 명  (2022년 기준),1998년 5월 21일 (업력 24년) ,www.dahami.co.kr,서울 중구
187,188,코드크레인(유),중소기업,0,0,www.codecrain.com,서울 광진구
188,189,(주)알파도,"중소기업, 연구소, 주식회사, 수출입 기업",11 명  (2021년 기준),2018년 2월 14일 (업력 4년) ,https://www.alphadopet.com,서울 금천구
189,190,(주)더블유에이아이,"중소기업, 연구소, 주식회사",0,0,www.waikorea.com,서울 영등포구
190,191,AJ네트웍스(주),"코스피, 대기업, 주식회사",533 명  (2022년 기준),2000년 2월 10일 (업력 22년) ,www.ajnet.co.kr,서울 송파구
191,192,(주)엔젤로보틱스,"중소기업, 연구소, 주식회사, 병역특례 ..",62 명  (2021년 기준),2017년 2월 10일 (업력 5년) ,angel-robotics.com/kr/,서울 성동구
192,193,(주)엠에스링크앤솔루션,"중소기업, 주식회사",0,0,www.mslk.co.kr,서울 성동구
193,194,(주)오토피온,대기업,53 명  (2022년 기준),2013년 12월 2일 (업력 9년) ,http://autopion.com,서울 강서구
194,195,(주)에이아이스페라,"중소기업, 주식회사, 병역특례 인증업체",0,0,,서울 성동구
195,196,(주)에이아이스페라,"중소기업, 주식회사, 병역특례 인증업체",0,0,,서울 성동구
196,197,터치올(주),"중소기업, 주식회사, 수출입 기업",0,2016년 1월 28일 (업력 6년) ,,서울 금천구
197,198,㈜애니파이브,중소기업,0,0,www.anyfive.com,서울 구로구
198,199,(주)써로마인드,"중소기업, 연구소, 주식회사, 병역특례 ..",32 명  (2022년 기준),2015년 7월 1일 (업력 7년) ,https://surromind.ai,서울 관악구
199,200,(주)써로마인드,"중소기업, 연구소, 주식회사, 병역특례 ..",32 명  (2022년 기준),2015년 7월 1일 (업력 7년) ,https://surromind.ai,서울 관악구
200,201,디딤365(주),"중소기업, 주식회사, 병역특례 인증업체",0,0,www.didim365.com,서울 금천구
201,202,㈜칸테크,중견기업,0,0,http://www.khantech.co.kr,서울 금천구
202,203,(주)넷앤드,"중소기업, 병역특례 인증업체",145 명  (2022년 기준),2007년 12월 21일 (업력 15년) ,www.netand.co.kr,서울 영등포구
203,204,(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구
204,205,콴텍(주),"중소기업, 스타트업, 주식회사",0,0,www.quantec.co.kr,서울 영등포구
205,206,(주)스노우피크코리아,"중소기업, 외국인 투자기업, 주식회사",0,0,http://snowpeak.co.kr,서울 양천구
206,207,(주)프로앱텍,"중소기업, 연구소, 주식회사",20 명  (2022년 기준),0,www.proabtech.com,광주 북구
207,208,크레파스솔루션(주),중소기업,20 명  (2021년 기준),0,www.crepass.com/,서울 마포구
208,209,오토시맨틱스(주),,0,0,www.autosemantics.co.kr,서울 성동구
209,210,(주)페니로이스,"중소기업, 주식회사",0,0,www.panirois.com,서울 종로구
